id,symbol,name,market_cap,total_volume
bitcoin,btc,Bitcoin,1387357515833,58282114829
ethereum,eth,Ethereum,250531558034,36081234833
tether,usdt,Tether,185586192755,97658594174
binancecoin,bnb,BNB,87419782082,1265110439
ripple,xrp,XRP,86352467654,3556242537
usd-coin,usdc,USDC,72692328241,12908433819
solana,sol,Solana,49376456545,4390349795
tron,trx,TRON,26201102702,691027027
dogecoin,doge,Dogecoin,16298456773,1300968258
figure-heloc,figr_heloc,Figure Heloc,15506728119,4960302
whitebit,wbt,WhiteBIT Coin,11285528925,41003694
bitcoin-cash,bch,Bitcoin Cash,10397713159,461169811
cardano,ada,Cardano,9948739431,1027491391
usds,usds,USDS,9552412345,24924990
hyperliquid,hype,Hyperliquid,7409051393,378497377
leo-token,leo,LEO Token,7137167452,1017165
ethena-usde,usde,Ethena USDe,6430333739,111520895
canton-network,cc,Canton,6342053518,12221772
chainlink,link,Chainlink,6249363339,517896618
monero,xmr,Monero,6022839714,79991941
usd1-wlfi,usd1,USD1,5311036627,1737290484
stellar,xlm,Stellar,5245040036,131405659
litecoin,ltc,Litecoin,4223886785,464338204
dai,dai,Dai,4209806124,83081406
zcash,zec,Zcash,3973324851,337441160
avalanche-2,avax,Avalanche,3934076445,341826611
paypal-usd,pyusd,PayPal USD,3858303589,124696229
hedera-hashgraph,hbar,Hedera,3854941208,113282774
sui,sui,Sui,3787984742,649867613
shiba-inu,shib,Shiba Inu,3636053200,165605536
the-open-network,ton,Toncoin,3403756090,175648031
crypto-com-chain,cro,Cronos,3130314437,18616350
rain,rain,Rain,3089096783,34520059
memecore,m,MemeCore,2737794238,10031379
world-liberty-financial,wlfi,World Liberty Financial,2705304895,111711067
tether-gold,xaut,Tether Gold,2585512245,183539251
pax-gold,paxg,PAX Gold,2301461237,164991402
polkadot,dot,Polkadot,2238980894,131942014
uniswap,uni,Uniswap,2207729661,190465103
mantle,mnt,Mantle,2083795988,43885224
bitget-token,bgb,Bitget Token,1809751862,29565574
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1809123775,0.0
falcon-finance,usdf,Falcon USD,1760084699,879460
aave,aave,Aave,1708857182,344428137
hashnote-usyc,usyc,Circle USYC,1603070014,557189
pepe,pepe,Pepe,1594607724,376300428
bittensor,tao,Bittensor,1577653788,87941281
okb,okb,OKB,1577511978,24458161
global-dollar,usdg,Global Dollar,1534342042,34030913
htx-dao,htx,HTX DAO,1517227874,13942031
sky,sky,Sky,1495278406,25166415
ripple-usd,rlusd,Ripple USD,1491915877,148108006
aster-2,aster,Aster,1429147986,206123424
near,near,NEAR Protocol,1362904141,144162131
ethereum-classic,etc,Ethereum Classic,1344240269,75634354
internet-computer,icp,Internet Computer,1326186329,73662254
bfusd,bfusd,BFUSD,1318716369,4081069
pi-network,pi,Pi Network,1287866555,13636811
ondo-finance,ondo,Ondo,1256575024,79585818
pump-fun,pump,Pump.fun,1246904280,121449189
myx-finance,myx,MYX Finance,1223176091,26958714
gatechain-token,gt,Gate,1133103428,3190092
worldcoin-wld,wld,Worldcoin,1110148659,89620423
kucoin-shares,kcs,KuCoin,1108615070,6083679
polygon-ecosystem-token,pol,POL (ex-MATIC),1019026333,68510784
ethena,ena,Ethena,1018321424,152692967
usdd,usdd,USDD,1009446892,1038693
hash-2,hash,Provenance Blockchain,992601607,16934.11
quant-network,qnt,Quant,977093201,16973300
cosmos,atom,Cosmos Hub,966630714,47272871
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),936458667,0.0
midnight-3,night,Midnight,882182577,14134073
usdtb,usdtb,USDtb,859219885,3184087
algorand,algo,Algorand,856762208,41970444
kaspa,kas,Kaspa,841164944,19020511
aptos,apt,Aptos,835256080,83504560
flare-networks,flr,Flare,804874502,4433613
official-trump,trump,Official Trump,787083139,136769913
nexo,nexo,NEXO,786102257,7627404
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,728152806,0.0
filecoin,fil,Filecoin,722173549,115030107
xdce-crowd-sale,xdc,XDC Network,720725954,21429703
render-token,render,Render,704154428,61790924
ousg,ousg,OUSG,700803622,0.0
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,690055069,3283318
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,689052955,0.0
vechain,vet,VeChain,687946240,19350173
arbitrum,arb,Arbitrum,686195814,110074485
morpho,morpho,Morpho,631097289,20048945
beldex,bdx,Beldex,606748187,11789255
usual-usd,usd0,Usual USD,572518307,433689
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,566846032,0.0
bonk,bonk,Bonk,555623368,73325102
usdai,usdai,USDai,554157249,6671084
gho,gho,GHO,527325320,19838579
jupiter-exchange-solana,jup,Jupiter,526530646,31370506
sei-network,sei,Sei,503772985,44545664
a7a5,a7a5,A7A5,500442836,1439.31
true-usd,tusd,TrueUSD,494238046,9247097
blockstack,stx,Stacks,483187443,28696025
fasttoken,ftn,Fasttoken,472852467,10537324
pancakeswap-token,cake,PancakeSwap,453482951,48809889
dash,dash,Dash,453450595,60466575
tezos,xtz,Tezos,451874576,18021210
euro-coin,eurc,EURC,450545624,21433263
story-2,ip,Story,446219349,39641178
chiliz,chz,Chiliz,434912827,62242385
decred,dcr,Decred,418185463,5417844
first-digital-usd,fdusd,First Digital USD,412370642,176238536
lighter,lit,Lighter,409019463,31925431
pudgy-penguins,pengu,Pudgy Penguins,407961071,106239036
optimism,op,Optimism,407214396,69796040
kinesis-gold,kau,Kinesis Gold,387945264,22600
virtual-protocol,virtual,Virtuals Protocol,381262834,68746749
just,jst,JUST,380154805,27885956
c8ntinuum,ctm,c8ntinuum,377414738,1126716
curve-dao-token,crv,Curve DAO,374540447,60062938
fetch-ai,fet,Artificial Superintelligence Alliance,373462879,48544001
resolv-usr,usr,Resolv USR,355308652,986232
apenft,nft,AINFT,342670652,18351366
layerzero,zro,LayerZero,337505793,62880843
sun-token,sun,Sun Token,330086281,41963954
ether-fi,ethfi,Ether.fi,326519553,50786969
bittorrent,btt,BitTorrent,323429697,11568127
injective-protocol,inj,Injective,322034862,49976679
kaia,kaia,Kaia,321863646,11059391
syrup,syrup,Maple Finance,320742524,14987846
gnosis,gno,Gnosis,319382091,6865679
doublezero,2z,DoubleZero,314024642,9792389
stable-2,stable,​​Stable,307288897,21774578
lido-dao,ldo,Lido DAO,301735978,39911787
floki,floki,FLOKI,301669090,36031727
usx,usx,USX,301082036,339184
iota,iota,IOTA,299017067,9437692
the-graph,grt,The Graph,296053781,15272605
celestia,tia,Celestia,294803619,35649777
aerodrome-finance,aero,Aerodrome Finance,293745157,15141297
crvusd,crvusd,crvUSD,293642527,17447641
kinesis-silver,kag,Kinesis Silver,281621545,153880
kite-2,kite,Kite,277392845,40225167
spx6900,spx,SPX6900,276298838,11184319
bitcoin-cash-sv,bsv,Bitcoin SV,276177660,4842476
telcoin,tel,Telcoin,274729650,1765982
frax,frax,Legacy Frax Dollar,273391151,13680598
olympus,ohm,Olympus,270529621,245973
pyth-network,pyth,Pyth Network,270074097,21910646
jasmycoin,jasmy,JasmyCoin,268603772,18608109
undeads-games,uds,Undeads Games,268335976,308072
starknet,strk,Starknet,261694734,60531535
hastra-prime,prime,PRIME,260179345,22.03
river,river,River,255685405,24266889
newton-project,ab,AB,253299687,5981389
zksync,zk,ZKsync,249026975,28577981
conflux-token,cfx,Conflux,246973434,10662518
adi-token,adi,ADI,234834006,267704
the-sandbox,sand,The Sandbox,230154952,50463242
dogwifcoin,wif,dogwifhat,229855555,105396831
ethereum-name-service,ens,Ethereum Name Service,228390231,23825793
humanity,h,Humanity,227478808,21911048
nusd-2,nusd,Neutrl USD,225892392,1510316
btse-token,btse,BTSE Token,221768920,11929034
zebec-network,zbcn,Zebec Network,219697711,10051963
axie-infinity,axs,Axie Infinity,219255512,61514136
ylds,ylds,YLDS,219213347,2610674
cap-usd,cusd,Cap USD,218742875,7317.04
trust-wallet-token,twt,Trust Wallet,218634667,21315391
usda-2,usda,USDa,217999538,1148.93
agora-dollar,ausd,AUSD,216440023,47106617
spiko-us-t-bills-money-market-fund,ustbl,Spiko US T-Bills Money Market Fund,210313565,49.95
sentient,sent,Sentient,209638471,190759789
mimblewimblecoin,mwc,MimbleWimbleCoin,207512810,148642
theta-token,theta,Theta Network,206572411,11051847
blockchain-capital,bcap,Blockchain Capital,204566892,0.0
ultima,ultima,Ultima,200983117,9401500
chain-2,xcn,Onyxcoin,198925212,6685457
swissborg,borg,SwissBorg,198105205,539491
golem,glm,Golem,198028764,8915033
monad,mon,Monad,197205278,73826350
pendle,pendle,Pendle,196717179,41059814
gala,gala,GALA,196688033,29639514
decentraland,mana,Decentraland,195886385,22293561
fartcoin,fartcoin,Fartcoin,195170499,44843681
