name,symbol,market_cap,volume_24h,market_cap_ratio,volume_24h_ratio
Maker,MKR,1171528141.6811793,186116804.0851536,0.03,0.03
THORChain,RUNE,1135198227.6215527,393949549.691511,0.03,0.06
Pyth Network,PYTH,1133375439.9639525,208660668.5205778,0.03,0.03
Zeebu,ZBU,1082378133.8438249,14705026.37774759,0.03,0.00
Flow,FLOW,1078226382.630604,108996863.47122987,0.03,0.02
Curve DAO Token,CRV,1066697121.6127454,512884985.09869534,0.03,0.08
Beam,BEAM,1039466836.8038425,90750635.16943508,0.03,0.01
BitTorrent [New],BTT,1031321731.0509833,70086680.49654284,0.03,0.01
Bitcoin SV,BSV,1028713531.8929206,102626022.71492185,0.03,0.02
Neo,NEO,1016789787.3058372,88229428.15555051,0.03,0.01
AIOZ Network,AIOZ,1002972367.6130646,132930823.49348448,0.03,0.02
Arweave,AR,989198740.626514,93656648.06759144,0.03,0.01
Fellaz,FLZ,939835519.081873,3591812.73687555,0.03,0.00
Brett (Based),BRETT,926436499.9642344,123083925.43359771,0.03,0.02
Axie Infinity,AXS,920074694.251618,103535568.90645093,0.03,0.02
Starknet,STRK,918027563.4328178,178811590.80937365,0.03,0.03
Decentraland,MANA,910930999.9010704,180821822.422063,0.03,0.03
ai16z,AI16Z,905158693.3856133,452229781.92893785,0.03,0.07
MultiversX,EGLD,881242293.7575912,103097765.76819316,0.02,0.02
Aerodrome Finance,AERO,870049683.7199228,139049318.9640537,0.02,0.02
Nexo,NEXO,869122469.865378,17585789.25113088,0.02,0.00
Polygon,MATIC,861742700.5040854,21146761.85305976,0.02,0.00
ShibaBitcoin,SHIBTC,855142297.7340369,10249873.11296212,0.02,0.00
dYdX (Native),DYDX,826002362.826585,108977317.14620651,0.02,0.02
Jito,JTO,807035577.6993146,175935897.68607107,0.02,0.03
Core,CORE,781801980.7341316,93048434.36502486,0.02,0.01
DeepBook Protocol,DEEP,780268968.5052688,170694078.81341454,0.02,0.02
Zcash,ZEC,779154352.5352542,129534875.19507304,0.02,0.02
Helium,HNT,768653141.2985911,32960906.70126727,0.02,0.00
USDD,USDD,753184268.4393269,3945588.55977421,0.02,0.00
Meta Games Coin,MGC,747269722.5488101,614413.81340895,0.02,0.00
ApeCoin,APE,733934429.3050928,252872500.4009181,0.02,0.04
Compound,COMP,733488019.3219967,74121148.47187449,0.02,0.01
Conflux,CFX,727185249.020726,133842057.59724647,0.02,0.02
Reserve Rights,RSR,715145242.6728364,175846092.8594154,0.02,0.03
Chiliz,CHZ,711901335.1325153,133263380.86062133,0.02,0.02
Akash Network,AKT,705860580.8836377,24116001.76415375,0.02,0.00
Gigachad (gigachadsolana.com),GIGA,695203951.9370137,87587907.73974656,0.02,0.01
FTX Token,FTT,672285499.6574683,57079733.97067474,0.02,0.01
eCash,XEC,668544639.4106619,69826628.81143634,0.02,0.01
Tether Gold,XAUt,663078267.7578332,11864099.82901565,0.02,0.00
Wormhole,W,648586041.145919,127602037.80845197,0.02,0.02
PancakeSwap,CAKE,647913696.1647265,142917281.75367263,0.02,0.02
Frax,FRAX,645514846.9772452,9828673.02251516,0.02,0.00
Amp,AMP,632113740.9384782,58407791.68538539,0.02,0.01
Ronin,RON,629617685.524947,35683476.70071366,0.02,0.01
Telcoin,TEL,625018700.1995555,14214449.11104216,0.02,0.00
Mog Coin,MOG,624025367.2599717,67268068.26645453,0.02,0.01
Mina,MINA,615034357.5236686,67992691.95640208,0.02,0.01
Pendle,PENDLE,607191381.916856,163592761.7481121,0.02,0.02
Gnosis,GNO,602425362.3808874,12800663.51660695,0.02,0.00
Morpho,MORPHO,585498206.8950036,135176576.85893527,0.02,0.02
ZKsync,ZK,584345452.6505105,143455761.4811086,0.02,0.02
EigenLayer,EIGEN,575743403.9835042,322809463.26757944,0.02,0.05
SuperVerse,SUPER,544375545.3247521,51288215.44079055,0.02,0.01
PayPal USD,PYUSD,543008510.6658341,82202966.02205047,0.02,0.01
Beldex,BDX,542845089.7515588,8211524.13879075,0.02,0.00
PAX Gold,PAXG,539207104.9393692,25973853.91470544,0.01,0.00
Synthetix,SNX,539159827.0578603,66591617.10863207,0.01,0.01
Axelar,AXL,537235747.7194889,29300531.79483667,0.01,0.00
aixbt by Virtuals,AIXBT,535986653.802238,474776521.769198,0.01,0.07
Notcoin,NOT,528610956.77911013,234239108.27266902,0.01,0.03
Grass,GRASS,520755392.0527116,149719983.36420953,0.01,0.02
TrueUSD,TUSD,494698132.4677141,90453519.08473407,0.01,0.01
insurance,INSURANCE,489607130.6862623,61610.16328374,0.01,0.00
Chintai,CHEX,489192232.6952901,7845754.87061789,0.01,0.00
Oasis,ROSE,486187184.51057184,81064638.76491292,0.01,0.01
Kava,KAVA,478704954.9429068,32485513.13470573,0.01,0.00
APENFT,NFT,476528236.96602607,57012693.69592016,0.01,0.01
1inch Network,1INCH,475092554.410249,72098333.76453593,0.01,0.01
cat in a dogs world,MEW,474553305.48119813,173141722.72579542,0.01,0.03
Trust Wallet Token,TWT,474328224.59472734,50546201.81743597,0.01,0.01
Terra Classic,LUNC,469560011.3158459,72322049.55220167,0.01,0.01
GRIFFAIN,GRIFFAIN,469152043.1889484,213104340.97549692,0.01,0.03
Echelon Prime,PRIME,468889584.1286804,23416592.73279439,0.01,0.00
Livepeer,LPT,460461682.63497174,103092027.69011348,0.01,0.02
LayerZero,ZRO,458915076.52736604,182053844.14036885,0.01,0.03
Cheelee,CHEEL,455632222.99330163,4588065.13101221,0.01,0.00
Freysa,FAI,452913489.38668257,4236443.38745667,0.01,0.00
Theta Fuel,TFUEL,438141182.14983493,15339782.15811374,0.01,0.00
Dash,DASH,437018971.4404078,128421901.01618142,0.01,0.02
Creditcoin,CTC,436062308.53781956,37401751.79436669,0.01,0.01
AI Rig Complex,ARC,431614900.2836958,119627790.86510889,0.01,0.02
Nervos Network,CKB,428907064.44270605,62750807.74458907,0.01,0.01
ORDI,ORDI,426946924.9124775,235488455.60522184,0.01,0.03
Popcat (SOL),POPCAT,423535338.6560164,161792647.2123565,0.01,0.02
Kusama,KSM,423519963.9068453,65943275.8815361,0.01,0.01
Blur,BLUR,422595930.6658533,99991336.11590225,0.01,0.01
Manta Network,MANTA,411608872.89897835,98728044.46019246,0.01,0.01
Snek,SNEK,410676299.05250317,8889108.62521614,0.01,0.00
Turbo,TURBO,410559119.6879444,217073573.1535202,0.01,0.03
Astar,ASTR,406221877.4618303,68758195.88331604,0.01,0.01
io.net,IO,398228481.46513927,223785945.1631559,0.01,0.03
Dog (Bitcoin),DOG,396769901.40667146,121666312.65320359,0.01,0.02
Safe,SAFE,391511975.37111723,34130179.26575223,0.01,0.00
ether.fi,ETHFI,390666861.64091057,301713193.20061874,0.01,0.04
Zilliqa,ZIL,388035629.94323593,69232838.97963813,0.01,0.01
0x Protocol,ZRX,387466757.7492008,120652412.36327167,0.01,0.02
Peanut the Squirrel,PNUT,384150964.7211988,735550646.3595315,0.01,0.11
Holo,HOT,384096185.8566968,36437025.35360041,0.01,0.01
Ondo US Dollar Yield,USDY,379350902.5497606,7468845.02160964,0.01,0.00
Aethir,ATH,369398661.317346,54202556.13785156,0.01,0.01
JUST,JST,367424527.11040723,86604008.66934487,0.01,0.01
Horizen,ZEN,366951032.261697,139377590.99511442,0.01,0.02
Convex Finance,CVX,365889233.97801304,36195156.18850891,0.01,0.01
SushiSwap,SUSHI,361506694.01738733,156595535.94495696,0.01,0.02
Baby Doge Coin,BabyDoge,355253638.34995043,245973156.0548988,0.01,0.04
Golem,GLM,347809841.6440703,24391071.59399953,0.01,0.00
Basic Attention Token,BAT,342287713.4300983,53358314.5755678,0.01,0.01
SPACE ID,ID,337716666.37594396,50313715.08582719,0.01,0.01
MX Token,MX,336986989.58728653,56083827.82845538,0.01,0.01
SafePal,SFP,336416319.1101027,18890530.93540517,0.01,0.00
OriginTrail,TRAC,333656061.58240664,4735442.53980394,0.01,0.00
WOO,WOO,332072651.90605515,39967178.18738061,0.01,0.01
Celo,CELO,330991476.8665031,67595007.73372886,0.01,0.01
WEMIX,WEMIX,330249327.17834705,2891624.27983611,0.01,0.00
SwissBorg,BORG,321654867.5149473,4208591.43197173,0.01,0.00
IoTeX,IOTX,320452024.67492443,29049583.68010189,0.01,0.00
Unicorn Fart Dust,UFD,319517424.72118944,121263674.63664824,0.01,0.02
Qtum,QTUM,319359786.6433793,66375584.7411783,0.01,0.01
Destra Network,DSYNC,318994832.5826784,13472242.95134642,0.01,0.00
Onyxcoin,XCN,316641792.7320825,272142151.2610182,0.01,0.04
Bio Protocol,BIO,316074768.11625165,195851970.9918514,0.01,0.03
Ankr,ANKR,315936451.33906525,45021011.97342931,0.01,0.01
ZetaChain,ZETA,314951921.98387367,84081052.40964802,0.01,0.01
MimbleWimbleCoin,MWC,313901538.2477909,883.82902327,0.01,0.00
Harmony,ONE,313329065.999688,50180231.32953736,0.01,0.01
Siacoin,SC,313268163.7200596,62605493.8556345,0.01,0.01
Gas,GAS,308136818.6975353,32514018.86772966,0.01,0.00
Enjin Coin,ENJ,303875563.48563015,41336971.78085761,0.01,0.01
Memecoin,MEME,303687973.64709306,207288262.88015,0.01,0.03
Ultima,ULTIMA,297085175.7842778,7831093.18750249,0.01,0.00
UXLINK,UXLINK,296657748.6973832,654821166.7176497,0.01,0.10
PAAL AI,PAAL,296651914.3673148,20077371.99405521,0.01,0.00
Moca Network,MOCA,293971551.310507,61597761.47777178,0.01,0.01
Osmosis,OSMO,291917203.9058653,18977727.98223637,0.01,0.00
Tribe,TRIBE,287958849.82387215,125122.75897121,0.01,0.00
BOOK OF MEME,BOME,287685105.50030077,376368100.10006344,0.01,0.06
EthereumPoW,ETHW,287634412.63893676,34644476.5052039,0.01,0.01
Vana,VANA,286854968.1509036,86399817.1040152,0.01,0.01
GMT,GMT,281898656.74042326,251986461.36435783,0.01,0.04
Akuma Inu,$AKUMA,280569849.356949,5290961.07962503,0.01,0.00
aelf,ELF,279491605.15841466,35750025.75121311,0.01,0.01
Drift,DRIFT,278628252.2302873,78589968.06685634,0.01,0.01
Ravencoin,RVN,275707075.250972,30110795.97329207,0.01,0.00
Arkham,ARKM,271691016.01692265,251389881.20713472,0.01,0.04
Magic Eden,ME,266157502.86952892,133084471.40620382,0.01,0.02
Chia,XCH,265876627.22363475,18279969.21570462,0.01,0.00
Threshold,T,265474953.36101562,25430697.8664748,0.01,0.00
yearn.finance,YFI,260158411.58267328,47155842.56765372,0.01,0.01
Frax Share,FXS,259574057.5290963,49419828.78521505,0.01,0.01
Qubic,QUBIC,259538494.49444905,11756344.85037784,0.01,0.00
Metars Genesis,MRS,258937333.5529782,52972.65235463,0.01,0.00
Mask Network,MASK,253397966.37414986,119146534.82878655,0.01,0.02
Aevo,AEVO,252432735.95250967,119752570.40245284,0.01,0.02
Kadena,KDA,250096948.86679906,60938219.2709318,0.01,0.01
Elixir deUSD,DEUSD,249257019.7440668,4667927.15447474,0.01,0.00
Terra,LUNA,246564404.91309267,80024123.94599335,0.01,0.01
Goatseus Maximus,GOAT,245920996.54786307,242281574.6665317,0.01,0.04
dYdX (ethDYDX),ETHDYDX,245906581.86750373,105506552.91731884,0.01,0.02
Clearpool,CPOOL,244361844.03412136,15743779.05859508,0.01,0.00
peaq,PEAQ,243057703.87878826,30661758.60264849,0.01,0.00
Dymension,DYM,240715626.10453165,314488669.4044718,0.01,0.05
SKALE,SKL,240400473.9539242,53910725.54085016,0.01,0.01
Hey Anon,ANON,238960658.9271379,39264819.5103768,0.01,0.01
Bazaars,BZR,237680885.2330271,727083.23585599,0.01,0.00
Loopring,LRC,235853627.65335676,38923873.25570171,0.01,0.01
Polymesh,POLYX,231783029.97857445,21244609.33724057,0.01,0.00
Neiro (First Neiro On Ethereum),NEIRO,230084823.81426692,335109831.949565,0.01,0.05
GMX,GMX,229434789.24987805,44232657.05444014,0.01,0.01
Biconomy,BICO,227542462.98224464,36058313.93636346,0.01,0.01
Solana Name Service,FIDA,227084877.4433159,273103566.9933486,0.01,0.04
Metis,METIS,227044399.1174257,36406628.12490968,0.01,0.01
Gravity,G,225077606.0125471,21701569.82309074,0.01,0.00
ssv.network,SSV,224607288.19385257,67818377.62506518,0.01,0.01
Orbler,ORBR,224247118.07703274,92007.02873169,0.01,0.00
SATS (Ordinals),SATS,223238520.35795093,136363694.7397126,0.01,0.02
UMA,UMA,218615908.5705812,42291124.61126501,0.01,0.01
Polyhedra Network,ZKJ,216800768.51116225,13878142.11461945,0.01,0.00
Humans.ai,HEART,216481361.10700753,1657569.90006457,0.01,0.00
GoМining,GOMINING,214426379.83999965,14108691.8051898,0.01,0.00
Decred,DCR,212839352.13580322,4245738.16030901,0.01,0.00
XYO,XYO,211916129.01779145,4247202.76525165,0.01,0.00
ChainGPT,CGPT,210737625.25645652,83488065.73487484,0.01,0.01
NEM,XEM,210438690.841928,49042822.82573683,0.01,0.01
Avail,AVAIL,209521590.42426008,6373752.78584649,0.01,0.00
Usual,USUAL,209338087.13372195,280875999.04574615,0.01,0.04
Open Campus,EDU,209280140.4550164,17578844.06632387,0.01,0.00
Sun [New],SUN,208343629.86162573,94323583.16035038,0.01,0.01
Ontology,ONT,203979324.66625193,37227170.72800054,0.01,0.01
Hive,HIVE,201556529.4167925,57070960.89550618,0.01,0.01
Metaplex,MPLX,200448185.7162518,3545081.73339388,0.01,0.00
VeThor Token,VTHO,198967862.9485624,4153027.54825745,0.01,0.00
Phala Network,PHA,198528065.61371577,79355798.36033909,0.01,0.01
Flux,FLUX,198295369.87518218,31713471.28242014,0.01,0.00
Rocket Pool,RPL,198207193.18326092,17615216.06765513,0.01,0.00
CoW Protocol,COW,197766838.19283807,197104345.02896687,0.01,0.03
Band Protocol,BAND,195246914.93706885,23498104.32255087,0.01,0.00
Altlayer,ALT,193997787.74310064,80453803.76887217,0.01,0.01
Xai,XAI,193350065.19000414,151262443.8054747,0.01,0.02
Rollbit Coin,RLB,192851649.426667,1450527.02686142,0.01,0.00
Waves,WAVES,192729142.87017894,38159223.22231558,0.01,0.01
Zano,ZANO,192557436.15118393,838788.79111974,0.01,0.00
Hivemapper,HONEY,190413401.6765454,2540694.80408324,0.01,0.00
Orca,ORCA,190358788.050483,121925855.82600157,0.01,0.02
TARS AI,TAI,190177642.22793514,15971914.06223503,0.01,0.00
Solar,SXP,190048836.74972633,33567753.56330831,0.01,0.00
Blast,BLAST,190000226.13585564,22348096.79147794,0.01,0.00
Dogelon Mars,ELON,189956839.1164711,596231942.0102489,0.01,0.09
DigiByte,DGB,189605993.85370037,10295410.14165991,0.01,0.00
Huobi Token,HT,188299201.10388327,830317.65408248,0.01,0.00
COTI,COTI,186557548.62179014,44641164.67246133,0.01,0.01
Casper,CSPR,186482083.99210024,19039422.82786551,0.01,0.00
Storj,STORJ,185100105.02475995,38241934.25235011,0.01,0.01
Velo,VELO,184517244.67111358,84894380.82719587,0.01,0.01
Hamster Kombat,HMSTR,182196833.09816977,82856373.79525395,0.01,0.01
Illuvium,ILV,181957830.77839002,37736663.21948344,0.01,0.01
Sologenic,SOLO,181446640.5017602,5257013.15374697,0.01,0.00
WAX,WAXP,179801108.21419904,30578830.80403878,0.01,0.00
Verge,XVG,179716777.95353937,25325314.30685246,0.00,0.00
DOGS,DOGS,178292897.2476033,115159958.95468888,0.00,0.02
Bitcoin Gold,BTG,178258168.71995154,6514628.98150392,0.00,0.00
ICON,ICX,177937536.6378104,15280927.61358054,0.00,0.00
Alchemy Pay,ACH,175818155.09927192,37190291.39508587,0.00,0.01
Wilder World,WILD,175149993.66946498,2284585.30260426,0.00,0.00
Moonbeam,GLMR,174400006.72499943,16745308.91503154,0.00,0.00
Zentry,ZENT,174300986.88255438,11092088.48945002,0.00,0.00
Audius,AUDIO,173758236.54650953,26714959.03081067,0.00,0.00
Constellation,DAG,172932970.06501722,4489512.55889715,0.00,0.00
Ski Mask Dog,SKI,172384973.84552136,92619013.82425399,0.00,0.01
LCX,LCX,172298178.18228495,3354086.0392513,0.00,0.00
Radix,XRD,170241171.87187517,2755900.64730125,0.00,0.00
Balancer,BAL,168513428.72830197,29483081.69480618,0.00,0.00
PepeCoin,PEPECOIN,168386437.40688214,8884910.4326097,0.00,0.00
Mythos,MYTH,168073547.7080894,428530.81506424,0.00,0.00
AVA,AVA,167415315.84451434,90719616.3479264,0.00,0.01
Status,SNT,166399738.66798413,21916619.09631632,0.00,0.00
Vanar Chain,VANRY,164617492.132875,30614319.3472055,0.00,0.00
Liquity,LQTY,164546726.79883343,90734941.23374702,0.00,0.01
ConstitutionDAO,PEOPLE,163740731.04156274,189938376.7799642,0.00,0.03
Non-Playable Coin,NPC,163514838.91765714,17459999.57561707,0.00,0.00
World Mobile Token,WMTX,161005281.1133481,8491250.22052585,0.00,0.00
Apu Apustaja,APU,160745916.68270454,14317215.58760792,0.00,0.00
Polymath,POLY,160520776.06877413,132893.31861812,0.00,0.00
0x0.ai,0x0,160020674.75410813,3105047.00452593,0.00,0.00
ZIGChain,ZIG,159057079.74277547,3635822.30456414,0.00,0.00
Aleo,ALEO,158604873.180747,15024475.83431328,0.00,0.00
Nano,XNO,158257574.97470415,4267096.1644174,0.00,0.00
HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,158169940.03396752,12106368.27488313,0.00,0.00
Yield Guild Games,YGG,157028616.37215233,60697505.62847776,0.00,0.01
Big Time,BIGTIME,156732424.12742835,50557964.76151902,0.00,0.01
Cetus Protocol,CETUS,154997093.53297517,82318556.49905626,0.00,0.01
VVS Finance,VVS,154494895.33015177,1626510.87213484,0.00,0.00
Chromia,CHR,154126708.59583023,35990108.74816296,0.00,0.01
UPCX,UPC,153467593.50761184,646187.39110593,0.00,0.00
Civic,CVC,152624285.8873031,37161119.14029861,0.00,0.01
Act I : The AI Prophecy,ACT,149854579.66145748,269816798.1774496,0.00,0.04
Lisk,LSK,149630101.76479468,62865434.7272565,0.00,0.01
Toshi,TOSHI,148749914.12335998,32069634.45835673,0.00,0.00
Taiko,TAIKO,147174262.9156312,47162515.59178907,0.00,0.01
Pixels,PIXEL,147037529.0003602,62427700.85811134,0.00,0.01
USDJ,USDJ,146563079.37264916,312357.08846037,0.00,0.00
Fwog (SOL),FWOG,145810958.43177357,67495230.08556171,0.00,0.01
BORA,BORA,144614794.1529303,4892567.23908204,0.00,0.00
Sleepless AI,AI,144151999.90494603,61556209.37121323,0.00,0.01
Centrifuge,CFG,143895551.10220364,1569432.7392507,0.00,0.00
Scroll,SCR,143775460.54668605,63221397.52919444,0.00,0.01
SmarDex,SDEX,143252595.69873327,2384316.33327313,0.00,0.00
BounceBit,BB,143168315.45841977,64477786.31515814,0.00,0.01
Saga,SAGA,143108314.73558822,104114768.81435227,0.00,0.02
Venus,XVS,142987880.34904602,22852795.97471689,0.00,0.00
IQ,IQ,142468347.5211163,20859544.61712808,0.00,0.00
Powerledger,POWR,141900213.7715235,26778536.51484665,0.00,0.00
Ozone Chain,OZO,141121215.2975905,186206.49819764,0.00,0.00
Spell Token,SPELL,140205619.0131062,100486327.5021602,0.00,0.01
Simon's Cat,CAT,139039313.79936796,94823797.33669625,0.00,0.01
Moo Deng (moodengsol.com),MOODENG,139007806.00240242,200241675.58603886,0.00,0.03
Zerebro,ZEREBRO,137912152.9282509,125959669.70860548,0.00,0.02
IOST,IOST,137335136.41785532,35209871.10430689,0.00,0.01
Tellor,TRB,137331731.1301086,89608332.12480268,0.00,0.01
Bitkub Coin,KUB,135891780.63011828,973163.02302496,0.00,0.00
STP,STPT,135317301.56306708,49209326.74181499,0.00,0.01
Aragon,ANT,134774177.3434616,10107.68605947,0.00,0.00
Cheems (cheems.pet),CHEEMS,134346774.4705959,36474957.75749035,0.00,0.01
Marlin,POND,133215241.1342156,19392940.53428736,0.00,0.00
iExec RLC,RLC,133209801.22628407,18150779.99127992,0.00,0.00
Delysium,AGI,132229951.0382035,14298352.59090082,0.00,0.00
Department Of Government Efficiency (dogegov.com),DOGE,131710900.32455158,29923912.52074999,0.00,0.00
Stratis [New],STRAX,130726413.76831909,20768860.4023933,0.00,0.00
Across Protocol,ACX,129954800.07076855,46541570.05637656,0.00,0.01
Limitus,LMT,129207580.16901577,4867384.91756689,0.00,0.00
STASIS EURO,EURS,129186851.20892878,191359.3686766,0.00,0.00
Ontology Gas,ONG,128691668.07045479,12628764.2746825,0.00,0.00
Lift Dollar,USDL,128681713.66820954,0.0,0.00,0.00
BasedAI,BASEDAI,127732282.10477109,5234711.49720476,0.00,0.00
Smooth Love Potion,SLP,127590143.1265991,24912744.15139116,0.00,0.00
Ergo,ERG,124557562.96358107,1104203.99886496,0.00,0.00
Keep Network,KEEP,124301791.46528554,31365.03589945,0.00,0.00
JOE,JOE,123435627.69180386,17776221.72898589,0.00,0.00
GoldPro Token,GPRO,123161391.36360893,181890.94800244,0.00,0.00
Dent,DENT,122945785.53722705,17617227.87883049,0.00,0.00
Adventure Gold,AGLD,121451635.91665573,76109129.72042426,0.00,0.01
Banana Gun,BANANA,120425691.85705318,38728929.88297102,0.00,0.01
MVL,MVL,119576261.42600402,7071856.63624418,0.00,0.00
Altura,ALU,119364729.4213907,22380938.59239803,0.00,0.00
Nosana,NOS,119303393.03702363,7525372.79343229,0.00,0.00
Coin98,C98,119300514.13672265,56239715.56200207,0.00,0.01
CARV,CARV,119036107.41258195,17497237.25115673,0.00,0.00
Satoshi Airline,JET,118587317.7597369,2191186.77455037,0.00,0.00
